session_id,start_time,q_index,question,response
54374f7a-7af7-4a65-a108-de337876470a,2023-06-24 20:59:28+00:00,0,Question 1,sdfs
54374f7a-7af7-4a65-a108-de337876470a,2023-06-24 20:59:28+00:00,1,Question 2,pink
54374f7a-7af7-4a65-a108-de337876470a,2023-06-24 20:59:28+00:00,2,Question 3,Bird
54374f7a-7af7-4a65-a108-de337876470a,2023-06-24 20:59:28+00:00,3,Question 4,Cherry
54374f7a-7af7-4a65-a108-de337876470a,2023-06-24 20:59:28+00:00,4,Question 5,6
59019c3a-3a2d-4f8f-a7da-df67d7710a00,2023-06-24 21:02:09+00:00,0,Question 1,batman
59019c3a-3a2d-4f8f-a7da-df67d7710a00,2023-06-24 21:02:09+00:00,1,Question 2,black
59019c3a-3a2d-4f8f-a7da-df67d7710a00,2023-06-24 21:02:09+00:00,2,Question 3,Bird
7548bfbe-825b-4903-89ee-6a7bbce0b834,2023-06-25 16:11:27+00:00,0,Question 1,sds
7548bfbe-825b-4903-89ee-6a7bbce0b834,2023-06-25 16:11:27+00:00,1,Question 2,
7548bfbe-825b-4903-89ee-6a7bbce0b834,2023-06-25 16:11:27+00:00,2,Question 3,Bird
7548bfbe-825b-4903-89ee-6a7bbce0b834,2023-06-25 16:11:27+00:00,3,Question 4,
f4a43777-77f7-4d8f-bf91-0c4755d3efd0,2023-06-25 16:12:35+00:00,0,Question 1,dsf
f4a43777-77f7-4d8f-bf91-0c4755d3efd0,2023-06-25 16:12:35+00:00,1,Question 2,yellow
f4a43777-77f7-4d8f-bf91-0c4755d3efd0,2023-06-25 16:12:35+00:00,2,Question 3,Cat
f4a43777-77f7-4d8f-bf91-0c4755d3efd0,2023-06-25 16:12:35+00:00,3,Question 4,
f4a43777-77f7-4d8f-bf91-0c4755d3efd0,2023-06-25 16:12:35+00:00,4,Question 5,9
f4a43777-77f7-4d8f-bf91-0c4755d3efd0,2023-06-25 16:12:35+00:00,5,Question 6,8
8dc44239-90e7-486a-9f8d-45549d1ff73b,2023-06-25 16:20:38+00:00,0,Question 1,penguin
8dc44239-90e7-486a-9f8d-45549d1ff73b,2023-06-25 16:20:38+00:00,1,Question 2,red
8dc44239-90e7-486a-9f8d-45549d1ff73b,2023-06-25 16:20:38+00:00,2,Question 3,Other
8dc44239-90e7-486a-9f8d-45549d1ff73b,2023-06-25 16:20:38+00:00,3,Question 4,Banana
8dc44239-90e7-486a-9f8d-45549d1ff73b,2023-06-25 16:20:38+00:00,4,Question 5,5
8dc44239-90e7-486a-9f8d-45549d1ff73b,2023-06-25 16:20:38+00:00,5,Question 6,1
4b17a0d9-b2b1-4512-9a2d-50aea36243e2,2023-06-25 16:25:40+00:00,0,Question 1,ben
4b17a0d9-b2b1-4512-9a2d-50aea36243e2,2023-06-25 16:25:40+00:00,1,Question 2,
4b17a0d9-b2b1-4512-9a2d-50aea36243e2,2023-06-25 16:25:40+00:00,2,Question 3,
4b17a0d9-b2b1-4512-9a2d-50aea36243e2,2023-06-25 16:25:40+00:00,3,Question 4,
4b17a0d9-b2b1-4512-9a2d-50aea36243e2,2023-06-25 16:25:40+00:00,4,Question 5,1
4b17a0d9-b2b1-4512-9a2d-50aea36243e2,2023-06-25 16:25:40+00:00,5,Question 6,7
ac6e0422-1f00-46a3-aa7f-eada331a4225,2023-06-25 16:29:57+00:00,0,Question 1,kjl
ac6e0422-1f00-46a3-aa7f-eada331a4225,2023-06-25 16:29:57+00:00,1,Question 2,klkj
ac6e0422-1f00-46a3-aa7f-eada331a4225,2023-06-25 16:29:57+00:00,2,Question 3,Dog
ac6e0422-1f00-46a3-aa7f-eada331a4225,2023-06-25 16:29:57+00:00,3,Question 4,
86df4609-05e0-453b-a48b-540d0ace984c,2023-06-25 16:32:54+00:00,0,Question 1,sdfs
86df4609-05e0-453b-a48b-540d0ace984c,2023-06-25 16:32:54+00:00,1,Question 2,
86df4609-05e0-453b-a48b-540d0ace984c,2023-06-25 16:32:54+00:00,2,Question 3,
86df4609-05e0-453b-a48b-540d0ace984c,2023-06-25 16:32:54+00:00,3,Question 4,
86df4609-05e0-453b-a48b-540d0ace984c,2023-06-25 16:32:54+00:00,4,Question 5,8
86df4609-05e0-453b-a48b-540d0ace984c,2023-06-25 16:32:54+00:00,5,Question 6,6
7e86f83b-f90d-4e9a-92d3-37d3e3f2ebd0,2023-06-25 16:34:18+00:00,0,Question 1,dsfs
7e86f83b-f90d-4e9a-92d3-37d3e3f2ebd0,2023-06-25 16:34:18+00:00,1,Question 2,
7e86f83b-f90d-4e9a-92d3-37d3e3f2ebd0,2023-06-25 16:34:18+00:00,2,Question 3,
7e86f83b-f90d-4e9a-92d3-37d3e3f2ebd0,2023-06-25 16:34:18+00:00,3,Question 4,
7e86f83b-f90d-4e9a-92d3-37d3e3f2ebd0,2023-06-25 16:34:18+00:00,4,Question 5,5
7e86f83b-f90d-4e9a-92d3-37d3e3f2ebd0,2023-06-25 16:34:18+00:00,5,Question 6,9
